username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Mimi Gan,493577740,Seattle,2023-01-23 05:27:50,@OneRoofFdn Game pucks from Chinese Lunar New Year?,0,Twitter for iPhone,
Jay Rule,2804127223,Seattle,2023-01-23 05:06:31,This theme song from Big Fish &amp; Begonia was beautifully played by this dynamic duo during Chinese New Year at our c… https://t.co/5vWIuKeDVY,0,Twitter Web App,
Lee Hung Nguyen《1mrlee》,14382033,"Seattle, WA",2023-01-23 04:28:49,@jvkesongs I watched your song golden hour performed in Chinese tonight at a lunar New year festival @ Amazon. It w… https://t.co/Y2izCWowDm,0,Twitter for Android,
Chantel Prat (she/her),4019201353,"Seattle, WA",2023-01-23 04:12:20,Happy Chinese New Year! I gave Peanut &amp; Butter some treats to celebrate their year 🐇 https://t.co/s2VLf5uZ0q,0,Twitter for iPhone,
Pandaddy,38040335,"Seattle, WA",2023-01-23 03:59:44,Chinese New Year dinner cooked by yours truly. Ignore the feet in the pic. Sub to my onlyfans Kappa https://t.co/sbDC2u0FsZ,0,Twitter for Android,
Justyn Smith,15142226,"Seattle, WA",2023-01-23 03:48:22,Happy Chinese New Year! https://t.co/32O7r1tFwn,0,LinkedIn,
iHateGanon | MasterNik,3842119699,"Victoria, British Columbia",2023-01-23 03:44:36,had Chinese new year dinner,0,Twitter for Android,
Mark Boar,1186711096238968834,"Seattle, Washington",2023-01-23 02:46:17,"@GordonGChang Besides Chinese New Year, China also created your father whose blood runs in your veins and name.

A tragedy, I know.",0,Twitter Web App,
Aqua 🫧❄️,1501023158392041473,Bottom of the sea,2023-01-23 02:30:08,Using Chinese new year as an excuse to draw one of these. I'm too lazy to draw the cute pattern they usually have t… https://t.co/67xJHPt9SH,2,Twitter Web App,
aira | ahrsm🐳✨,382558939,SEA,2023-01-23 02:26:22,@Vafarien A skit from cn hoyofair for lunar new year recently! I unfortunately don't have the ability to help you w… https://t.co/Z4ThmWkIwK,0,Twitter for Android,
Tom Tucker,202335692,Victoria BC,2023-01-23 02:20:38,Vital People: Victoria's Chinese Canadian Museum https://t.co/21jN8HOgKH,0,Twitter Web App,
Ann Davison,1467953209519968259,Seattle WA,2023-01-23 02:14:53,What a nice Lunar New Year celebration last week by Organization of Chinese Americans. Thank you for including me! https://t.co/TpPeoYsi7E,0,Twitter for iPhone,
Suri Zhang,1691271906,"Seattle, WA",2023-01-23 01:36:12,@Disneyland its CHINESE NEW YEAR,0,Twitter for iPhone,
Dav~ Wright,107916594,"Tumwater/Olympia, WA",2023-01-23 00:31:20,"@SpeakerPelosi You know what, I remember 3 years ago you saying COVID was a hoax and distraction from Impeachment a… https://t.co/Za27Exspwq",1,Twitter for Android,
Block by Block,4329338841,"Redmond, WA",2023-01-23 00:10:30,The Chinese #YearoftheRabbit is associated with peace and good fortune. Let's all do our part to foster those quali… https://t.co/FCLkI9qAc1,1,Twitter Web App,
Beth Virginia Milton,529139553,"Olympia, WA",2023-01-22 23:48:51,Happy Lunar New Year! 🐰🐇🧧 https://t.co/U9TKLdPgHu,0,Twitter for iPhone,
Jon/Joker,346412464,"Seattle, WA",2023-01-22 23:39:42,"Know it’s been a tumultuous week but still wanna wish everyone gōng xǐ fā cái going into the Chinese New Year!
I ha… https://t.co/0Efo3a2U8a",0,Twitter for iPhone,
BlockCerts,123331497,"Victoria, BC",2023-01-22 23:15:13,"Chinese New Year savings have started early! 

Don't miss out on your chance to grab your tokens (with utility) now… https://t.co/R0wHonJYn6",0,SocialPilot.co,
ketten (DJ 勉強中),2318292726,"Bellevue, Washington",2023-01-22 22:53:05,"Chinese new year
what better way than to stay in room and stare at screen",0,Twitter for Android,
Farah Jadran,546173123,"Seattle, WA",2023-01-22 22:03:30,"The talented founder of Subtle Asian Baking, Kat Lieu, shared her family's Vietnamese and Chinese #LunarNewYear tra… https://t.co/hWZDid99um",1,Twitter for Android,
CcL,3314273532,Seattle,2023-01-22 21:55:37,@bretterlich Look all your people trying to make fun of Chinese New Year. We hear you loud and clear!,0,Twitter for Android,
michaelwong.eth 🦇🔊,759241685427752960,Seattle,2023-01-22 21:27:53,"happy chinese new year to you. gung hay fat choy means i hope you get rich. 

i hope you get rich.",2,Twitter for iPhone,
American Friends of ICC,1445127766890921989,Bellingham WA,2023-01-22 21:00:51,"Happy Chinese New Year!  The Year of the Rabbit symbolizes longevity, peace, and prosperity. 2023 is predicted to b… https://t.co/Z5pu3NGhuh",0,Loomly,
Campus Honda Victoria,114847826,"Victoria, British Columbia",2023-01-22 20:56:09,Happy Chinese New Year from our family to yours. https://t.co/PKJB0PuKiQ,0,Instagram,
Beth A. Newton,242429435,"Camano Island, WA",2023-01-22 20:44:34,"Happy Chinese New Year!  Chinese New Year, or Lunar New Year, marks the transition between zodiac signs, 2023 is th… https://t.co/1livDNtLDX",0,Buffer,
Nicholas Wong (黄棟庭),212392098,"Victoria, BC",2023-01-22 20:17:22,@CcEva_ Thank you for the wonderful explanation. Happy Chinese New year to you. 🐇,1,Twitter for Android,
Adri Richards™,53131501,"Woodinville, Washington",2023-01-22 20:07:56,"Happy Chinese new year 🧧

2023 is the year of the rabbit! 🐇",0,Twitter for iPhone,
Reading Partners SEA,712001200867008512,"Seattle, WA",2023-01-22 20:02:13,"From eating a piece of sugar cane first thing in the morning to not showering (so you don’t wash away any luck!), D… https://t.co/IHe3g7PkTk",0,LaterMedia,
Dr. Katrine B. Hegillman,631688421,Victoria BC,2023-01-22 19:31:10,Chinese New Year 2022 Greetings form Oriri Acupuncture and Herbal Medicine Centre - https://t.co/yrBt2Fj6lQ https://t.co/CBMZxTbimw,0,Mailchimp,
ghmonkeyshiners,1092076961285820416,"Gig Harbor, WA",2023-01-22 19:30:41,"On our way to Tacoma, spreading some Chinese new year love in the harbor! #monkeyshines2023 @mudmonkey253 https://t.co/Ad7hHx3wcl",0,Twitter for iPhone,
District of North Saanich,608340117,"North Saanich, BC",2023-01-22 19:30:15,Happy Chinese New Year! May your Year of the Rabbit be filled with prosperity and happiness. https://t.co/lHLBJjPuDX,0,Hootsuite Inc.,
Tommy Bauer (Duck and Starlight Glimmer Fan!!),1450105932,"Kirkland, WA",2023-01-22 19:21:03,@SodorCentral_ Happy Chinese New Year Emily! 🇨🇳🎊🧧🐇😊,0,Twitter for iPad,
Amber McMillan (a.k.a. The Feisty PM),4754942774,"Victoria, British Columbia",2023-01-22 19:11:30,Happy Chinese New Year 2023! Year of the rabbit #happy #yearoftherabbit #chinesenewyear #newyear… https://t.co/WN1OWr8fzA,0,Publer.io,
KING 5 News,19430999,"Seattle, Washington, USA",2023-01-22 19:01:03,Sharing her Chinese and Vietnamese heritage - Kat Lieu demonstrated DIY baking recipes to celebrate Lunar New Year. https://t.co/V6kz6fg9Ti,3,SocialNewsDesk,
Kepler College,159264607,Seattle. Washington,2023-01-22 19:00:33,Happy Chinese New Year! 2023 brings the year of the Yin #WaterRabbit. 🐇 If you're curious about what lies ahead for… https://t.co/v2cmD90aKk,1,Hootsuite Inc.,
Life & Death Matters - Katherine Murray,319206116,"Victoria, BC ",2023-01-22 19:00:31,"Happy New Year! 🎆 2023 is the year of the rabbit in the Chinese zodiac. 🐇

Chinese New Year celebrations begin toda… https://t.co/osjjDEfp1e",0,Agorapulse app,
