username,userid,profile_location,created_at,text,retweet_count,source,coordinates
PsychicTreasures,2383860098,"New Jersey, USA",2023-01-22 20:06:36,Gung Hay Fat Choy! The Chinese new year coincides with the lunar calendar. We agree! https://t.co/OwhnZNf1EL,0,Twitter for iPhone,
Taylor Dunn,1203859624685973505,"New York, NY",2023-01-22 20:06:11,Lunar new year is a great excuse to get Chinese food tonight,0,Twitter for iPhone,
David Huang,2392754060,NJ,2023-01-22 20:05:51,Happy Chinese New Year! https://t.co/0i2k868at5,0,Twitter Web App,
The Walden School,37964928,"Media, Pennsylvania",2023-01-22 20:04:05,"The Walden School wishes our community a Happy Chinese New Year -新年好
May your new year be as luck and lovely as the… https://t.co/wnkUTWGFZS",0,Adobe Express,
Daily Mail US,380285402,New York,2023-01-22 20:00:22,Joe and Jill Biden pay tribute to the ten victims of Chinese Lunar New Year dance studio massacre https://t.co/CrQXi7I1Ku,2,SocialFlow,
Daily Mail US,380285402,New York,2023-01-22 20:00:22,Ballroom champion who's an instructor at Chinese Lunar New Year massacre dance studio pays tribute https://t.co/ys1yQcHYtt,1,SocialFlow,
Tigerless Insurance 虎虎保险,1124053927933227019,New York,2023-01-22 20:00:00,"🎇 Happy Chinese New Year!🎇 
May the joy of the Spring Festival fill you all year round!
.
.
.
.
#chinesenewyear… https://t.co/zdjpNJeHHe",0,TweetDeck,
Matthew Bernstein,897170396239327243,"Millburn, NJ",2023-01-22 19:59:34,Happy Chinese new year https://t.co/JqJJywMMQ7,0,Twitter for iPhone,
Coldwell Banker American Homes,2250553069,"East Meadow, NY",2023-01-22 19:53:05,"May the new year be filled with joy, prosperity, and many happy moments spent with loved ones. Happy Chinese New Ye… https://t.co/VfiWpzH4N6",0,Buffer,
City Life Org,1268970515340935171,"New York, NY",2023-01-22 19:52:58,Chinese New Year - Wishing our followers a Happy Chinese New Year! #CityLifeOrg #CityLife #NYC #USA #ChineseNewYear https://t.co/JkV2Rf0BYA,1,Promo.com,
Yuminale,75009001,"New Haven, CT",2023-01-22 19:49:00,Happy Chinese New Year! https://t.co/jt0jledfDQ,0,Twitter Web App,
THE Money Maker,3692884996,"New York, USA",2023-01-22 19:48:18,"$RABBIT is the top of Chinese New Year meme coin.🐰✨ 

 I recommend $RABBIT tokens 💯🐇 

 https://t.co/mxC0Hg7z5d… https://t.co/qYNAVi8xAS",0,Twitter Web App,
Debbie Fong 🎏,481021209,"Brooklyn, NY",2023-01-22 19:48:03,I’m hosting my family’s Chinese New Year celebration for the first time this year! Time to make a Spotify playlist… https://t.co/C92ii0wjEl,1,Twitter for iPhone,
Glovas Guzzi Gutierrez Morrow Group at MS,986680537535385600,"Easton, PA",2023-01-22 19:45:00,"Happy Chinese New Year! 2023 is the year of the Rabbit, click the link to learn more about this cycle:
https://t.co/WCByNvKfGS",0,Hearsay Social,
bred,1112543330292903936,"New York, USA",2023-01-22 19:38:08,happy chinese new year !,0,Twitter for Android,
Peterhawk71,1313262803076165637,"New York, USA",2023-01-22 19:37:53,Happy Chinese New Year from @RugLabz @RugdollzNFT https://t.co/Z7znM3iQ6u,0,Twitter for iPhone,
JeannieLisaSmile,908467667580997632,New York,2023-01-22 19:37:42,"Happy Chinese New Year
The Year of the Rabbit https://t.co/bGeIU2IbL0",0,Twitter Web App,
The Daily Princetonian,23013488,"Princeton, NJ",2023-01-22 19:36:29,“All of this is to say that nearly every way in which my family celebrates Lunar New Year has been shaped and modif… https://t.co/muC0Gz27i8,0,TweetDeck,
New York Mike 🇺🇦,4081419509,New York City,2023-01-22 19:35:59,Did you hare the news? Sheng Mary Bakery is headed to the top for an exclusive Lunar New Year #YearoftheRabbit pop-… https://t.co/XefNw8G6OG,0,IFTTT,
EXITNY Metro,45264795,"Syosset, NY",2023-01-22 19:35:05,"EXIT Realty New York Metro wishes everyone a very happy Chinese New Year!
🐇

#ChineseNewYear #LunarNewYear… https://t.co/KX2GSe8qrH",0,SOCi ,
